180,634,QAT,Qatar,カタール国,QAR
181,638,REU,Reunion,レユニオン,EUR
182,642,ROU,Romania,ルーマニア,RON
183,643,RUS,Russian Federation,ロシア連邦,RUB
184,646,RWA,Rwanda,ルワンダ共和国,RWF
185,652,BLM,Saint Barth?lemy,サンバルテルミー,EUR
186,654,SHN,Saint Helena Ascension and Tristan da Cunha,セントヘレナ・アセンション・トリスタンダクーニャ,SHP
187,659,KNA,Saint Kitts and Nevis,セントキッツ・ネービス,XCD
188,662,LCA,Saint Lucia,セントルシア,XCD
189,663,MAF,Saint Martin (French part),サンマルタン,EUR
190,666,SPM,Saint Pierre and Miquelon,サンピエール島・ミクロン島,EUR
191,670,VCT,Saint Vincent and the Grenadines,セントビンセント・グレナディーン諸島,XCD
192,882,WSM,Samoa,サモア独立国,WST
193,674,SMR,San Marino,サンマリノ共和国,EUR
194,678,STP,Sao Tome and Principe,サントメ・プリンシペ民主共和国,STD
195,682,SAU,Saudi Arabia,サウジアラビア王国,SAR
196,686,SEN,Senegal,セネガル共和国,XOF
197,688,SRB,Serbia,セルビア共和国,RSD
198,690,SYC,Seychelles,セーシェル共和国,SCR
199,694,SLE,Sierra Leone,シエラレオネ共和国,SLL
200,702,SGP,Singapore,シンガポール共和国,SGD
201,534,SXM,Sint Maarten (Dutch part),シント・マールテン(オランダ領),ANG
202,703,SVK,Slovakia,スロバキア共和国,EUR
203,705,SVN,Slovenia,スロベニア共和国,EUR
204,90,SLB,Solomon Islands,ソロモン諸島,SBD
205,706,SOM,Somalia,ソマリア民主共和国,SOS
206,710,ZAF,South Africa,南アフリカ共和国,ZAR
207,239,SGS,South Georgia and the South Sandwich Islands,南ジョージア島・南サンドイッチ諸島,GBP
208,728,SSD,South Sudan,南スーダン,SSP
209,724,ESP,Spain,スペイン,EUR
210,144,LKA,Sri Lanka,スリランカ民主社会主義共和国,LKR
211,736,SDN,Sudan,スーダン共和国,SDG
212,740,SUR,Suriname,スリナム共和国,SRD
213,744,SJM,Svalbard and Jan Mayen,スバールバル諸島・ヤンマイエン島,NOK
214,748,SWZ,Swaziland,スワジランド王国,SZL
215,752,SWE,Sweden,スウェーデン王国,SEK
216,756,CHE,Switzerland,スイス連邦,CHF
217,760,SYR,Syrian Arab Republic,シリア・アラブ共和国,SYP
218,158,TWN,Taiwan Province of China,台湾,TWD
219,762,TJK,Tajikistan,タジキスタン共和国,TJS
220,834,TZA,Tanzania United Republic of,タンザニア連合共和国,TZS
221,764,THA,Thailand,タイ王国,THB
222,626,TLS,Timor-Leste,東ティモール民主共和国,USD
223,768,TGO,Togo,トーゴ共和国,XOF
224,772,TKL,Tokelau,トケラウ諸島,NZD
225,776,TON,Tonga,トンガ王国,TOP
226,780,TTO,Trinidad and Tobago,トリニダード・トバゴ共和国,TTD
227,788,TUN,Tunisia,チュニジア共和国,TND
228,792,TUR,Turkey,トルコ共和国,TRL
229,795,TKM,Turkmenistan,トルクメニスタン,TMM
230,796,TCA,Turks and Caicos Islands,タークス・カイコス諸島,USD
231,798,TUV,Tuvalu,ツバル,なし
232,800,UGA,Uganda,ウガンダ共和国	,GX
233,804,UKR,Ukraine,ウクライナ,UAH
234,784,ARE,United Arab Emirates,アラブ首長国連邦,AED
235,826,GBR,United Kingdom,グレートブリテン・北アイルランド連合王国(英国),GBP
236,840,USA,United States,アメリカ合衆国,USD
237,581,UMI,United States Minor Outlying Islands,米領小離島,USD
238,858,URY,Uruguay,ウルグアイ東方共和国,UYU
239,860,UZB,Uzbekistan,ウズベキスタン共和国,UZS
240,548,VUT,Vanuatu,バヌアツ共和国,VUV
241,862,VEN,Venezuela Bolivarian Republic of,ベネズエラ・ボリバル共和国,VEF
242,704,VNM,Viet Nam,ベトナム社会主義共和国,VND
243,92,VGB,Virgin Islands British,英領バージン諸島,USD
244,850,VIR,Virgin Islands U.S.,米領バージン諸島,USD
245,876,WLF,Wallis and Futuna,ワリス・フテュナ諸島,XPF
246,732,ESH,Western Sahara,西サハラ,MAD
247,887,YEM,Yemen,イエメン共和国,YER
248,894,ZMB,Zambia,ザンビア共和国,ZMW
249,716,ZWE,Zimbabwe,ジンバブエ共和国,USD
250,999,ZZZ,Others,その他,aaa
